"chunk_id","n_candidate_pairs","n_r1_candidate_pairs","n_r2_candidate_pairs","n_r1_candidate_pairs_with_r2_mate","n_r2_candidate_pairs_with_r1_mate","n_partner_validated_records","n_partner_validated_pairs"
227,3,1,3,1,3,3,1
228,1,1,0,1,0,0,0
229,2,1,1,1,1,0,0
230,0,0,0,0,0,0,0
231,1,0,1,0,1,0,0
232,0,0,0,0,0,0,0
233,2,1,2,1,2,3,1
234,1,1,1,1,1,3,1
235,1,1,0,1,0,1,1
236,3,2,2,2,2,2,1
237,2,2,0,2,0,0,0
238,0,0,0,0,0,0,0
239,1,0,1,0,1,0,0
240,1,1,0,1,0,0,0
241,1,1,0,1,0,0,0
242,3,2,2,2,2,2,1
243,0,0,0,0,0,0,0
244,0,0,0,0,0,0,0
245,1,0,1,0,1,0,0
246,2,1,1,1,1,0,0
247,5,4,2,4,2,2,1
248,2,0,2,0,2,0,0
249,0,0,0,0,0,0,0
250,0,0,0,0,0,0,0
251,2,2,0,2,0,1,1
252,1,0,1,0,1,0,0
253,0,0,0,0,0,0,0
254,0,0,0,0,0,0,0
255,1,0,1,0,1,0,0
256,1,1,0,1,0,0,0
257,0,0,0,0,0,0,0
258,0,0,0,0,0,0,0
259,2,1,2,1,2,2,1
260,5,3,3,3,3,3,2
261,1,1,0,1,0,0,0
262,1,0,1,0,1,0,0
263,2,0,2,0,2,0,0
264,2,2,0,2,0,0,0
265,0,0,0,0,0,0,0
266,0,0,0,0,0,0,0
267,1,1,0,1,0,0,0
268,1,0,1,0,1,0,0
269,0,0,0,0,0,0,0
270,1,1,0,1,0,1,1
271,1,0,1,0,1,0,0
272,1,1,0,1,0,0,0
273,0,0,0,0,0,0,0
274,2,2,2,2,2,5,2
275,1,1,0,1,0,1,1
276,1,1,0,1,0,0,0
277,0,0,0,0,0,0,0
278,1,0,1,0,1,0,0
279,0,0,0,0,0,0,0
280,1,1,1,1,1,2,1
281,1,1,0,1,0,0,0
282,2,0,2,0,2,0,0
283,1,0,1,0,1,0,0
284,0,0,0,0,0,0,0
