"read_pair","file_name","total_reads","unique_read_lengths","mean_read_len_bp","sd_read_len_bp","mean_gc_pct","median_gc_pct","mean_n_pct","q20_bases_pct","q30_bases_pct","mean_phred_score","throughput_mb","throughput_gb","est_paired_coverage","min_read_len_bp","max_read_len_bp","median_read_len_bp","p05_read_len_bp","p25_read_len_bp","p75_read_len_bp","p95_read_len_bp","pct_at_max_read_len","pct_reads_lt_100bp","pct_reads_lt_50bp","pct_reads_ge_report_length","expected_read_len_bp","expected_sequencing_chemistry","mean_length_reduction_pct","read_length_qc_status","read_length_qc_interpretation"
"R1","SRR7910035_1.fastq",28337187,"300, 299, 301, 231, 297, 271, 289, 227, 223, 261, 252, 257, 298, 207, 238, 236, 269, 264, 145, 200, 292, 222, 295, 214, 259, 177, 282, 254, 293, 260, 219, 278, 284, 198, 190, 262, 243, 249, 272, 180, 225, 202, 136, 275, 273, 183, 251, 215, 230, 128, 240, 131, 189, 205, 267, 221, 173, 237, 199, 124, 256, 212, 285, 126, 281, 148, 171, 127, 266, 263, 290, 274, 229, 130, 179, 265, 296, 113, 169, 258, 245, 187, 279, 228, 160, 247, 158, 253, 151, 170, 104, 167, 224, 134, 133, 286, 209, 250, 204, 210, 192, 216, 116, 139, 226, 70, 213, 120, 287, 276, 294, 201, 220, 175, 208, 111, 234, 168, 277, 197, 211, 114, 41, 206, 186, 241, 218, 193, 102, 217, 233, 255, 283, 232, 235, 119, 101, 97, 132, 164, 288, 246, 141, 152, 291, 188, 112, 91, 182, 154, 73, 86, 239, 248, 181, 162, 108, 244, 58, 146, 117, 270, 135, 196, 191, 142, 172, 138, 195, 280, 268, 176, 165, 242, 109, 157, 143, 174, 125, 178, 159, 156, 184, 144, 203, 122, 123, 149, 185, 150, 163, 161, 166, 153, 137, 92, 194, 155, 147, 56, 35, 129, 115, 87, 40, 89, 65, 140, 59, 121, 99, 80, 66, 107, 98, 71, 94, 79, 106, 96, 105, 103, 118, 82, 110, 64, 90, 74, 93, 76, 37, 100, 84, 47",297.66,17.8,43.19,45.18,0.01,91.04,81.34,33.58,8434.84,8.435,482.15,35,301,301,298,300,301,301,64.906,0.06,0.011,97.905,301,"Illumina MiSeq PE301",1.10972425249168,"PASS","Variable read lengths are consistent with adapter/quality trimming; no evidence of excessive trimming."
"R2","SRR7910035_2.fastq",28337187,"301, 300, 238, 243, 193, 121, 299, 298, 213, 255, 108, 200, 188, 230, 79, 295, 150, 232, 174, 264, 287, 225, 277, 259, 190, 169, 281, 284, 218, 212, 291, 229, 275, 227, 228, 297, 198, 258, 250, 112, 247, 271, 109, 128, 158, 194, 113, 126, 146, 217, 95, 252, 61, 118, 249, 273, 154, 276, 267, 78, 180, 289, 270, 178, 159, 210, 173, 248, 44, 147, 56, 274, 290, 168, 231, 223, 88, 203, 204, 155, 196, 165, 175, 215, 201, 186, 240, 102, 262, 239, 233, 164, 241, 237, 132, 153, 163, 157, 140, 172, 268, 245, 296, 182, 181, 107, 219, 142, 234, 151, 138, 185, 177, 117, 251, 166, 278, 254, 224, 127, 216, 137, 143, 156, 279, 265, 236, 214, 292, 149, 161, 105, 282, 189, 162, 226, 206, 148, 283, 123, 261, 144, 294, 170, 131, 91, 235, 167, 263, 205, 111, 191, 253, 80, 269, 106, 184, 152, 211, 256, 202, 192, 72, 221, 35, 160, 64, 286, 141, 207, 288, 244, 242, 187, 195, 129, 83, 134, 260, 116, 179, 74, 69, 197, 257, 285, 220, 125, 246, 272, 66, 183, 122, 120, 119, 293, 82, 266, 86, 98, 136, 199, 145, 222, 62, 139, 70, 209, 50, 81, 101, 133, 176, 103, 208, 94, 130, 124, 135, 89, 280, 171, 96, 115, 104, 90, 73, 110, 47, 97, 71, 57, 84, 75, 85, 55, 39, 77, 45, 87, 58, 51, 99, 65, 100",297.86,18.5,43.54,45.51,0.02,75.63,60.87,28.67,8440.58,8.441,482.15,35,301,301,299,300,301,301,66.338,0.104,0.011,98.029,301,"Illumina MiSeq PE301",1.04238205980066,"PASS","Variable read lengths are consistent with adapter/quality trimming; no evidence of excessive trimming."
