"chunk_id","read_start","read_end","r1_n_reads","r2_n_reads","r1_prefilter_candidates","r2_prefilter_candidates","r1_primary_validated","r2_primary_validated","paired_partner_validated","elapsed_seconds","status","started_at","completed_at","candidate_output","validated_output","paired_output"
26,2500001,2600000,100000,100000,0,0,0,0,0,"8.09650015830994","COMPLETE","2026-08-16 16:50:11.439015","2026-08-16 16:50:19.538198","F:/PROJECTS/IVMT1_Gene_Validation_R/raw_read_analysis/reports/tac102_4B3p_fast/full_v1/candidates/chunk_000026.csv","F:/PROJECTS/IVMT1_Gene_Validation_R/raw_read_analysis/reports/tac102_4B3p_fast/full_v1/validated/chunk_000026.csv","F:/PROJECTS/IVMT1_Gene_Validation_R/raw_read_analysis/reports/tac102_4B3p_fast/full_v1/paired/chunk_000026.csv"
27,2600001,2700000,100000,100000,0,0,0,0,0,"7.59449195861816","COMPLETE","2026-08-16 16:50:20.461469","2026-08-16 16:50:28.059154","F:/PROJECTS/IVMT1_Gene_Validation_R/raw_read_analysis/reports/tac102_4B3p_fast/full_v1/candidates/chunk_000027.csv","F:/PROJECTS/IVMT1_Gene_Validation_R/raw_read_analysis/reports/tac102_4B3p_fast/full_v1/validated/chunk_000027.csv","F:/PROJECTS/IVMT1_Gene_Validation_R/raw_read_analysis/reports/tac102_4B3p_fast/full_v1/paired/chunk_000027.csv"
28,2700001,2800000,100000,100000,0,1,0,1,0,"14.1510870456696","COMPLETE","2026-08-16 16:50:28.661607","2026-08-16 16:50:42.815366","F:/PROJECTS/IVMT1_Gene_Validation_R/raw_read_analysis/reports/tac102_4B3p_fast/full_v1/candidates/chunk_000028.csv","F:/PROJECTS/IVMT1_Gene_Validation_R/raw_read_analysis/reports/tac102_4B3p_fast/full_v1/validated/chunk_000028.csv","F:/PROJECTS/IVMT1_Gene_Validation_R/raw_read_analysis/reports/tac102_4B3p_fast/full_v1/paired/chunk_000028.csv"
29,2800001,2900000,100000,100000,1,0,1,0,0,"16.8393249511719","COMPLETE","2026-08-16 16:50:43.863316","2026-08-16 16:51:00.706209","F:/PROJECTS/IVMT1_Gene_Validation_R/raw_read_analysis/reports/tac102_4B3p_fast/full_v1/candidates/chunk_000029.csv","F:/PROJECTS/IVMT1_Gene_Validation_R/raw_read_analysis/reports/tac102_4B3p_fast/full_v1/validated/chunk_000029.csv","F:/PROJECTS/IVMT1_Gene_Validation_R/raw_read_analysis/reports/tac102_4B3p_fast/full_v1/paired/chunk_000029.csv"
30,2900001,3000000,100000,100000,1,1,1,1,0,"18.4292228221893","COMPLETE","2026-08-16 16:51:01.784985","2026-08-16 16:51:20.218661","F:/PROJECTS/IVMT1_Gene_Validation_R/raw_read_analysis/reports/tac102_4B3p_fast/full_v1/candidates/chunk_000030.csv","F:/PROJECTS/IVMT1_Gene_Validation_R/raw_read_analysis/reports/tac102_4B3p_fast/full_v1/validated/chunk_000030.csv","F:/PROJECTS/IVMT1_Gene_Validation_R/raw_read_analysis/reports/tac102_4B3p_fast/full_v1/paired/chunk_000030.csv"
31,3000001,3100000,100000,100000,0,0,0,0,0,"8.69681978225708","COMPLETE","2026-08-16 16:51:20.81715","2026-08-16 16:51:29.519271","F:/PROJECTS/IVMT1_Gene_Validation_R/raw_read_analysis/reports/tac102_4B3p_fast/full_v1/candidates/chunk_000031.csv","F:/PROJECTS/IVMT1_Gene_Validation_R/raw_read_analysis/reports/tac102_4B3p_fast/full_v1/validated/chunk_000031.csv","F:/PROJECTS/IVMT1_Gene_Validation_R/raw_read_analysis/reports/tac102_4B3p_fast/full_v1/paired/chunk_000031.csv"
32,3100001,3200000,100000,100000,1,1,2,1,3,"20.1005020141602","COMPLETE","2026-08-16 16:51:30.653928","2026-08-16 16:51:50.758278","F:/PROJECTS/IVMT1_Gene_Validation_R/raw_read_analysis/reports/tac102_4B3p_fast/full_v1/candidates/chunk_000032.csv","F:/PROJECTS/IVMT1_Gene_Validation_R/raw_read_analysis/reports/tac102_4B3p_fast/full_v1/validated/chunk_000032.csv","F:/PROJECTS/IVMT1_Gene_Validation_R/raw_read_analysis/reports/tac102_4B3p_fast/full_v1/paired/chunk_000032.csv"
33,3200001,3300000,100000,100000,1,2,1,2,0,"21.4856288433075","COMPLETE","2026-08-16 16:51:51.785598","2026-08-16 16:52:13.274002","F:/PROJECTS/IVMT1_Gene_Validation_R/raw_read_analysis/reports/tac102_4B3p_fast/full_v1/candidates/chunk_000033.csv","F:/PROJECTS/IVMT1_Gene_Validation_R/raw_read_analysis/reports/tac102_4B3p_fast/full_v1/validated/chunk_000033.csv","F:/PROJECTS/IVMT1_Gene_Validation_R/raw_read_analysis/reports/tac102_4B3p_fast/full_v1/paired/chunk_000033.csv"
34,3300001,3400000,100000,100000,5,3,5,4,8,"25.9991009235382","COMPLETE","2026-08-16 16:52:13.791507","2026-08-16 16:52:39.793519","F:/PROJECTS/IVMT1_Gene_Validation_R/raw_read_analysis/reports/tac102_4B3p_fast/full_v1/candidates/chunk_000034.csv","F:/PROJECTS/IVMT1_Gene_Validation_R/raw_read_analysis/reports/tac102_4B3p_fast/full_v1/validated/chunk_000034.csv","F:/PROJECTS/IVMT1_Gene_Validation_R/raw_read_analysis/reports/tac102_4B3p_fast/full_v1/paired/chunk_000034.csv"
35,3400001,3500000,100000,100000,1,1,1,1,0,"17.711079120636","COMPLETE","2026-08-16 16:52:40.637539","2026-08-16 16:52:58.351865","F:/PROJECTS/IVMT1_Gene_Validation_R/raw_read_analysis/reports/tac102_4B3p_fast/full_v1/candidates/chunk_000035.csv","F:/PROJECTS/IVMT1_Gene_Validation_R/raw_read_analysis/reports/tac102_4B3p_fast/full_v1/validated/chunk_000035.csv","F:/PROJECTS/IVMT1_Gene_Validation_R/raw_read_analysis/reports/tac102_4B3p_fast/full_v1/paired/chunk_000035.csv"
